PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Inhoff, M				Inhoff, Marcel			Pixeltanzer	WORLD LITERATURE TODAY			English	Book Review									[Inhoff, Marcel] Univ Bonn, Bonn, Germany	Inhoff, M (reprint author), Univ Bonn, Bonn, Germany.							1	0	0	0	0	UNIV OKLAHOMA PRESS	NORMAN	UNIVERSITY PRESS BUILDING, 1005 ASP AVE, NORMAN, OK 73019 USA	0196-3570	1945-8134		WORLD LITERATURE TOD	World Lit. Today	WIN	2020	94	1					110	+		10.7588/worllitetoda.94.1.0110a			2	Literature	Literature	JY8HD	WOS:000504648500078					2020-05-19	
J	Keller, B; Matsubara, S; Rascher, U; Pieruschka, R; Steier, A; Kraska, T; Muller, O				Keller, Beat; Matsubara, Shizue; Rascher, Uwe; Pieruschka, Roland; Steier, Angelina; Kraska, Thorsten; Muller, Onno			Genotype Specific Photosynthesis x Environment Interactions Captured by Automated Fluorescence Canopy Scans Over Two Fluctuating Growing Seasons	FRONTIERS IN PLANT SCIENCE			English	Article						cold acclimation; photosynthesis x environment interactions; electron transport; chlorophyll fluorescence; high-throughput phenotyping	PHOTOCHEMICAL REFLECTANCE INDEX; LIGHT USE EFFICIENCY; CHLOROPHYLL FLUORESCENCE; PHOTOSYSTEM-II; ELECTRON-TRANSPORT; TEMPERATURE-ACCLIMATION; COLD-ACCLIMATION; PHENOTYPIC PLASTICITY; SOYBEAN GENOTYPES; XANTHOPHYLL CYCLE	Photosynthesis reacts dynamic and in different time scales to changing conditions. Light and temperature acclimation balance photosynthetic processes in a complex interplay with the fluctuating environment. However, due to limitations in the measurements techniques, these acclimations are often described under steady-state conditions leading to inaccurate photosynthesis estimates in the field. Here we analyze the photosynthetic interaction with the fluctuating environment and canopy architecture over two seasons using a fully automated phenotyping system. We acquired over 700,000 chlorophyll fluorescence transients and spectral measurements under semi-field conditions in four crop species including 28 genotypes. As expected, the quantum efficiency of the photosystem II (F-v/F-m in the dark and F-q'/F-m' in the light) was determined by light intensity. It was further significantly affected by spectral indices representing canopy structure effects. In contrast, a newly established parameter, monitoring the efficiency of electron transport (F-r2/F-v in the dark respective F-r2'/F-q' in the light), was highly responsive to temperature (R-2 up to 0.75). This parameter decreased with temperature and enabled the detection of cold tolerant species and genotypes. We demonstrated the ability to capture and model the dynamic photosynthesis response to the environment over entire growth seasons. The improved linkage of photosynthetic performance to canopy structure, temperature and cold tolerance offers great potential for plant breeding and crop growth modeling.	[Keller, Beat; Matsubara, Shizue; Rascher, Uwe; Pieruschka, Roland; Steier, Angelina; Muller, Onno] Forschungszentrum Julich, Inst Bio & Geosci, IBG 2 Plant Sci, Julich, Germany; [Kraska, Thorsten] Univ Bonn, Field Lab, Campus Klein Altendorf, Rheinbach, Germany; [Keller, Beat] Swiss Fed Inst Technol, Inst Agr Sci, Mol Plant Breeding, Zurich, Switzerland	Keller, B (reprint author), Forschungszentrum Julich, Inst Bio & Geosci, IBG 2 Plant Sci, Julich, Germany.; Keller, B (reprint author), Swiss Fed Inst Technol, Inst Agr Sci, Mol Plant Breeding, Zurich, Switzerland.	beat.keller@usys.ethz.ch	Matsubara, Shizue/A-5673-2011; Muller, Onno/Q-8180-2016; Kraska, Thorsten/A-1154-2015	Matsubara, Shizue/0000-0002-1440-6496; Muller, Onno/0000-0002-0473-5632; Kraska, Thorsten/0000-0001-9451-6769	German Federal Ministry of Education and ResearchFederal Ministry of Education & Research (BMBF) [031A053]	German-Plant-Phenotyping Network funded by the German Federal Ministry of Education and Research (project identification number: 031A053).		103	0	0	126	126	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND	1664-462X			FRONT PLANT SCI	Front. Plant Sci.	NOV 20	2020	10								1482	10.3389/fpls.2019.01482			17	Plant Sciences	Plant Sciences	KF0OL	WOS:000508950900001	31998328	DOAJ Gold, Green Published			2020-05-19	
J	Valmassoi, A; Dudhia, J; Di Sabatino, S; Pilla, F				Valmassoi, Arianna; Dudhia, Jimy; Di Sabatino, Silvana; Pilla, Francesco			Irrigation impact on precipitation during a heatwave event using WRF-ARW: The summer 2015 Po Valley case	ATMOSPHERIC RESEARCH			English	Article						Atmospheric modelling; Irrigation; Precipitation	CLIMATE; EXPLICIT; MODEL	Irrigation is crucial in sustaining food production and it is found to have a cooling effect. Changes at the surface affect both the circulation and the precipitation. The magnitude depends on the model used, the irrigation description and the water amount, as well as the region. The study focuses on northern Italy (the Po Valley) due to its vulnerability to heatwaves and dependency on local water sources. This study is performed with the Weather Research and Forecasting (WRF) model and newly developed irrigation parameterizations defined by different evaporative processes. The model runs at a 3 km convection-permitting resolution, starting in May 2015 and analyzing July. An irrigation amount of 5.7 mm is applied daily at 5 UTC for 3 h, starting from May 15. A set of convection-parameterized sensitivity simulations is used to investigate the results' dependency on timing. Using a convection-parameterized set of experiments, it is assessed that irrigation increases the precipitation accumulated over the region. While irrigation modifies the air mass properties, convection-permitting runs show that afternoon events are inhibited due to an increase in convection inhibition and decrease in boundary layer height. This happens despite the increase in the convective available potential energy (CAPE) and a decrease in both the lifting condensation level and level of free convection. For the nighttime event, irrigation increases significantly both boundary layer moisture and CAPE, increasing the precipitation. All cases are compared against the national radar composite accumulated over two hours, finding that the irrigated runs perform better than the control.	[Valmassoi, Arianna; Pilla, Francesco] Univ Coll Dublin, Sch Architecture Planning & Environm Policy, UCD Richview, Dublin, Ireland; [Valmassoi, Arianna; Dudhia, Jimy] Natl Ctr Atmospher Res, POB 3000, Boulder, CO 80307 USA; [Valmassoi, Arianna] Hans Ertel Ctr Weather Res, Climate Monitoring & Diagnost Grp, Bonn, Germany; [Valmassoi, Arianna] Univ Bonn, Inst Geosci, Meteorol Sect, Bonn, Germany; [Di Sabatino, Silvana] Univ Bologna, Dept Phys & Astron, Bologna, Italy	Valmassoi, A (reprint author), Hans Ertel Ctr Weather Res, Climate Monitoring & Diagnost Grp, Bonn, Germany.	avalmass@uni-bonn.de			iSCAPE (Improving Smart Control of Air Pollution in Europe) project [689954]; National Science Foundation (NSF)National Science Foundation (NSF)	This work is carried out as part of the National Center for Atmospheric Research (NCAR)Advanced Study Graduate Visitor Program (ASP) and the iSCAPE (Improving Smart Control of Air Pollution in Europe) project [Grant No. 689954]. Cheyenne computational resources are provided by ASP through the Computational & Information System Lab (CISL) funded by the National Science Foundation (NSF).		50	0	0	0	0	ELSEVIER SCIENCE INC	NEW YORK	STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA	0169-8095	1873-2895		ATMOS RES	Atmos. Res.	SEP 1	2020	241								UNSP 104951	10.1016/j.atmosres.2020.104951			15	Meteorology & Atmospheric Sciences	Meteorology & Atmospheric Sciences	LJ5OO	WOS:000530214900002					2020-05-19	
J	Zorin-Kranich, P				Zorin-Kranich, Pavel			Weighted Lepingle inequality	BERNOULLI			English	Article						p-variation; Burkholder-Davis-Gundy inequality; Muckenhoupt A(p) weight	P-VARIATION; JUMP INEQUALITIES; NORM INEQUALITIES	We prove an estimate for weighted pth moments of the pathwise r-variation of a martingale in terms of the A(p) characteristic of the weight. The novelty of the proof is that we avoid real interpolation techniques.	[Zorin-Kranich, Pavel] Univ Bonn, Math Inst, Bonn, Germany	Zorin-Kranich, P (reprint author), Univ Bonn, Math Inst, Bonn, Germany.	pzorin@uni-bonn.de			Hausdorff Center for Mathematics [DFG EXC 2047]	This work was partially supported by the Hausdorff Center for Mathematics (DFG EXC 2047).		31	0	0	0	0	INT STATISTICAL INST	VOORBURG	428 PRINSES BEATRIXLAAN, 2270 AZ VOORBURG, NETHERLANDS	1350-7265	1573-9759		BERNOULLI	Bernoulli	AUG	2020	26	3					2311	2318		10.3150/20-BEJ1194			8	Statistics & Probability	Mathematics	LJ2VO	WOS:000530027600025					2020-05-19	
J	Pfeifer, C; Weche, JP				Pfeifer, Christian; Weche, John P.			Temporary Agency Work and Firm Performance: A Replication Study with Extensions	JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK			English	Article						temporary agency work; firm competitiveness; productivity; profitability; unit labor costs	LABOR	The authors analyze the nexus between temporary agency work (TAW) and firm performance. Compared to Hirsch and Mueller (2012, The Productivity Effect of Temporary Agency Work: Evidence from German Panel Data. Economic Journal 122 (562): F216-F235) and Nielen and Schiersch (2014, Temporary Agency Work and Firm Competitiveness: Evidence from German Manufacturing Firms. Industrial Relations 53: 365-393), the authors support a concave relationship between the TAW share and productivity, but find a convex relationship between the TAW share and unit labor costs, instead of a u-shape. Moreover, a new finding is that the correlation between the TAW share and profitability is only moderate.	[Pfeifer, Christian; Weche, John P.] Leuphana Univ Lueneburg, Inst Econ, Scharnhorststr 1, D-21335 Luneburg, Germany; [Weche, John P.] Monopolies Commiss, Bonn, Germany; [Pfeifer, Christian] Forschungsinst Zukunft Arbeit IZA, Bonn, Germany	Weche, JP (reprint author), Leuphana Univ Lueneburg, Inst Econ, Scharnhorststr 1, D-21335 Luneburg, Germany.; Weche, JP (reprint author), Monopolies Commiss, Bonn, Germany.	pfeifer@leuphana.de; john.weche@monopolkommission.bund.de						6	0	0	0	0	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0021-4027	2366-049X		JAHRB NATL STAT	Jahrb. Natl. Okon. Stat.	AUG	2020	240	4					455	465		10.1515/jbnst-2018-0038			11	Economics; Social Sciences, Mathematical Methods	Business & Economics; Mathematical Methods In Social Sciences	LI3WT	WOS:000529417800003					2020-05-19	
J	Wen, QB; Yu, ZJ; Riedel, R; Ionescu, E				Wen, Qingbo; Yu, Zhaoju; Riedel, Ralf; Ionescu, Emanuel			Significant improvement of high-temperature oxidation resistance of HfC/SiC ceramic nanocomposites with the incorporation of a small amount of boron	JOURNAL OF THE EUROPEAN CERAMIC SOCIETY			English	Article						Polymer-derived ceramic nanocomposites; High-temperature oxidation; Silicon carbide; Hafnium carbide; UHTCs	DIBORIDE-SILICON-CARBIDE; ZIRCONIUM DIBORIDE; HAFNIUM CARBIDE; ZRB2-SIC COMPOSITES; C/C COMPOSITES; BEHAVIOR; CARBON; KINETICS; PRECURSOR; ADDITIONS	Oxidation behavior of boron-containing HfC/SiC nanocomposites (SHBC) at temperatures up to 1500 degrees C and with exposure time up to 100 h was investigated. Two strategies to improve the oxidation resistance of the HfC/SiC ceramics are proposed. First concept involves the incorporation of a small amount of boron (ca. 0.6 wt.%) into the nanocomposite via a single-source-precursor approach, which contributes significantly to the enhancement of its oxidation resistance. Parabolic oxidation rate constants of 10(-3) to 10(-4) mg2/(cm(4) h) at 1300 - 1500 degrees C were measured for SHBC and were several orders of magnitude lower than those recorded for boron-free HfC/SiC. The second improvement concept is realized via passivation of the samples upon short-term oxidation at 1400 degrees C, providing an excellent oxidation resistance over a wide temperature range. This is a crucial step especially when considering the poor oxidation behavior of HfC and the sluggish formation of protective silica scale at moderate temperatures.	[Wen, Qingbo; Riedel, Ralf; Ionescu, Emanuel] Tech Univ Darmstadt, Inst Materialwissensch, Otto Berndt Str 3, D-64287 Darmstadt, Germany; [Yu, Zhaoju] Xiamen Univ, Coll Mat, Minist Educ, Key Lab High Performance Ceram Fibers, Xiamen 361005, Peoples R China; [Yu, Zhaoju] Xiamen Univ, Coll Mat, Fujian Key Lab Adv Mat, Xiamen 361005, Peoples R China	Ionescu, E (reprint author), Tech Univ Darmstadt, Inst Materialwissensch, Otto Berndt Str 3, D-64287 Darmstadt, Germany.; Yu, ZJ (reprint author), Xiamen Univ, Coll Mat, Minist Educ, Key Lab High Performance Ceram Fibers, Xiamen 361005, Peoples R China.	zhaojuyu@xmu.edu.cn; ionescu@materials.tu-darmstadt.de	Ionescu, Emanuel/J-1622-2012	Ionescu, Emanuel/0000-0002-3266-3031	Technische Universitat Darmstadt; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [51872246]; Alexander von Humboldt FoundationAlexander von Humboldt Foundation; Heisenberg Program of the German Science Foundation (DFG; Bonn)German Research Foundation (DFG) [IO 64/14-1]	Qingbo Wen thanks the "Career Bridging Grant" from Technische Universitat Darmstadt for financial support. Zhaoju Yu thanks the National Natural Science Foundation of China (No. 51872246) and Alexander von Humboldt Foundation for financial support. Furthermore, the Heisenberg Program of the German Science Foundation (DFG; Bonn, IO 64/14-1) is gratefully acknowledged. The authors thank Prof. Dr. Olivier Guillon and Prof. Dr. Zhijian James Shen for support concerning the Spark Plasma Sintering experiments, Dipl.Ing. Claudia Fasel for TGA assisted oxidation tests, and Dr. Cong Zhou for elemental analysis.		69	0	0	1	1	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0955-2219	1873-619X		J EUR CERAM SOC	J. Eur. Ceram. Soc.	AUG	2020	40	10					3499	3508		10.1016/j.jeurceramsoc.2020.03.067			10	Materials Science, Ceramics	Materials Science	LG7TP	WOS:000528298800001					2020-05-19	
J	Dogru, T; Mody, M; Line, N; Suess, C; Hanks, L; Bonn, M				Dogru, Tarik; Mody, Makarand; Line, Nathan; Suess, Courtney; Hanks, Lydia; Bonn, Mark			Investigating the whole picture: Comparing the effects of Airbnb supply and hotel supply on hotel performance across the United States	TOURISM MANAGEMENT			English	Article						Airbnb; Sharing economy; Hotel supply; Economic impact; Overdevelopment; Demand	SHARING ECONOMY; TESTS	This study examines and compares the extent to which Airbnb and hotel supply affect key hotel performance measures in the United States. The results show that although both Airbnb and hotel supply adversely affect hotel revenues (i.e., RevPAR), the magnitude of the impact of hotel supply on RevPAR is much larger than that of Airbnb. Airbnb adversely affects hotel room prices (i.e., ADR), however; it does not affect occupancy rates (i.e., OCC). Yet, increasing hotel supply negatively affects OCC but not ADR. The results from the state-level analyses further showed that the negative effects of Airbnb and hotel supply on RevPAR, ADR and OCC persist only in states with high hotel supply. Analyzing the joint effects of Airbnb and hotel supply on hotel performance in a manner that is both geographically-comprehensive and spatially-meaningful, this study provides a more complete and nuanced understanding on the economic dynamics of the accommodation industry.	[Dogru, Tarik; Line, Nathan; Hanks, Lydia; Bonn, Mark] Florida State Univ, Dedman Sch Hospitality, Tallahassee, FL 32306 USA; [Mody, Makarand] Boston Univ, Sch Hospitality Adm, 928 Commonwealth Ave, Boston, MA 02215 USA; [Suess, Courtney] Texas A&M Univ, Dept Recreat Pk & Tourism Sci, College Stn, TX 77843 USA	Dogru, T (reprint author), Florida State Univ, Dedman Sch Hospitality, Tallahassee, FL 32306 USA.	tdogru@dedman.fsu.edu; mmody@bu.edu; nline@dedman.fsu.edu; csuess@tamu.edu; lhanks@dedman.fsu.edu; mbonn@dedman.fsu.edu						44	0	0	2	2	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0261-5177	1879-3193		TOURISM MANAGE	Tourism Manage.	AUG	2020	79								104094	10.1016/j.tourman.2020.104094			13	Environmental Studies; Hospitality, Leisure, Sport & Tourism; Management	Environmental Sciences & Ecology; Social Sciences - Other Topics; Business & Economics	LG1CM	WOS:000527847800012					2020-05-19	
J	Thomas, CF; Thienel, KJF; Stefan, T; Schmidt, CM; Hinrichs, J				Thomas, Christine F.; Thienel, Katharina J. F.; Stefan, Thorsten; Schmidt, Christian M.; Hinrichs, Joerg			Design of in vitro model to study oral aroma release: Experimental study and numeric simulation of heat transfer in a foamed dairy matrix	JOURNAL OF FOOD ENGINEERING			English	Article						In vitro aroma release; Numeric simulation; Aeration; Dairy foam; Heat transfer	FLAVOR RELEASE; SUGAR	Since aeration can increase aroma perception, it may be used to compensate the perceived aroma loss of low-fat dairy products. To be able to study the effect of aeration on aroma release systematically in the future, a temperature study was conducted on an in vitro model built to study aroma release at temperatures relevant for oral processing. The studied dairy foam contained 4% (w/w) milk protein and 0.75% (w/w) alginate and had a gas volume fraction of 71% after whipping. The temperature development during incubation of the foam at 40 degrees C was calculated using a numeric simulation. Thermal equilibrium was reached after 50 min. Sampling for dynamic aroma release was found to be ideal at 2, 7 and 15 min, because mean foam temperatures were 25, 30 and 35 degrees C. Experimental temperature analysis of the foam core was in good agreement with the simulation (R-2 = 0.95).	[Thomas, Christine F.; Thienel, Katharina J. F.; Schmidt, Christian M.; Hinrichs, Joerg] Univ Hohenheim, Dept Soft Matter Sci & Dairy Technol, Garbenstr 21, D-70599 Stuttgart, Germany; [Stefan, Thorsten] Univ Hohenheim, Dept Appl Math & Stat, Schloss Hohenheim, D-70599 Stuttgart, Germany	Thomas, CF (reprint author), Univ Hohenheim, Dept Soft Matter Sci & Dairy Technol, Garbenstr 21, D-70599 Stuttgart, Germany.	c.thomas@uni-hohenheim.de			program for promoting the Industrial Collective Research (IGF) of the German Ministry of Economic Affairs and Energy (BMWi) [17126 N]	This IGF Project of the FEI (Forschungskreis der Ernahrungsindustrie e.V., Bonn) was supported via AiF [17126 N] within the program for promoting the Industrial Collective Research (IGF) of the German Ministry of Economic Affairs and Energy (BMWi), based on a resolution of the German Parliament. The authors thank Anke K_orber and Oskar Seitz for their help in conducting the experiments.		28	0	0	4	4	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0260-8774	1873-5770		J FOOD ENG	J. Food Eng.	AUG	2020	278								109940	10.1016/j.jfoodeng.2020.109940			6	Engineering, Chemical; Food Science & Technology	Engineering; Food Science & Technology	LB0ZF	WOS:000524365300001					2020-05-19	
J	Satoh, T				Satoh, Takao			(Generators and relations of "lower-triangular" automorphism groups of free groups)	JOURNAL OF PURE AND APPLIED ALGEBRA			English	Article						Automorphism groups of free groups; IA-automorphism groups; Heisenberg groups; Presentation of groups; Second homology groups	HOMOLOGY	We consider a certain subgroup A(n)(+) of the automorphism group of a free group of rank n. It can be regarded as a free group analogue of the group Lambda(n) of integral lower-triangular matrices. We call A(n)(+) the lower-triangular automorphism group of a free group. The first aim of the paper is to give a finite presentation for A(n)(+). The abelianization of the free group induces the surjective homomorphism rho(+) from A(n)(+) to Lambda(n). In our previous paper [18], we introduced the lower-triangular IA-automorphism group IA(n)(+). Here we show that IA(n)(+) coincides with the kernel of rho+. The second aim of the paper is to give an infinite presentation for IA(n)(+). Finally, we study a relation of the second homology groups between A(n)(+) and Lambda(n). In particular, we compute the second homology group H-2(Lambda(n), L) by using Magnus's presentation where L is a principal ideal domain in which 2 is invertible. For example, L = Q, Z/pZ for prime p >= 3. This gives a lower bound on the integral second homology group of A(n)(+). (C) 2020 Elsevier B.V. All rights reserved.	[Satoh, Takao] Tokyo Univ Sci, Fac Sci, Div 2, Dept Math,Shinjuku, 1-3 Kagurazaka, Tokyo 1628601, Japan	Satoh, T (reprint author), Tokyo Univ Sci, Fac Sci, Div 2, Dept Math,Shinjuku, 1-3 Kagurazaka, Tokyo 1628601, Japan.	takao@rs.tus.ac.jp			Tokyo University of Science; JSPS KAKENHIMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI) [24740051, 16K05155]	The part of this work was done when the author stayed at the Mathematical Institute of the University of Bonn as a visitor in 2017. The author would like to thank the University of Bonn for its hospitality, and Tokyo University of Science for its financial supports. This work is supported by JSPS KAKENHI Grants Number 24740051 and 16K05155.		17	0	0	0	0	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0022-4049	1873-1376		J PURE APPL ALGEBRA	J. Pure Appl. Algebr.	AUG	2020	224	8							UNSP 106340	10.1016/j.jpaa.2020.106340			27	Mathematics, Applied; Mathematics	Mathematics	KW9NN	WOS:000521510500010					2020-05-19	
J	Kawai, T				Kawai, Tatsuji			Presenting de Groot duality of stably compact spaces	THEORETICAL COMPUTER SCIENCE			English	Article						Stably compact space; De Groot duality; Strong proximity lattice; Entailment relation; Locale	SYSTEMS	We give a constructive account of the de Groot duality of stably compact spaces in the setting of strong proximity lattice, a point-free representation of a stably compact space. To this end, we introduce a notion of strong continuous entailment relation, which can be thought of as a presentation of a strong proximity lattice by generators and relations. The new notion allows us to identify de Groot duals of stably compact spaces by analysing the duals of their presentations. We carry out a number of constructions on strong proximity lattices using strong continuous entailment relations and study their de Groot duals. The examples include various powerlocales, patch topology, and the space of valuations. These examples illustrate the simplicity of our approach by which we can reason about the de Groot duality of stably compact spaces. (C) 2020 Elsevier B.V. All rights reserved.	[Kawai, Tatsuji] Japan Adv Inst Sci & Technol, 1-1 Asahidai, Nomi, Ishikawa 9231292, Japan	Kawai, T (reprint author), Japan Adv Inst Sci & Technol, 1-1 Asahidai, Nomi, Ishikawa 9231292, Japan.	tatsuji.kawai@jaist.ac.jp			Hausdorff Research Institute for Mathematics (HIM), University of Bonn	I thank the referees for numerous suggestions which help me improve the paper in an essential way. In particular, their suggestion to use entailment systems allows me to simplify and constructivise many parts of the paper. I also thank Steve Vickers and Daniel Wessel for helpful discussions. This work was carried out while I was in the Hausdorff Research Institute for Mathematics (HIM), University of Bonn, for their trimester program "Types, Sets and Constructions" (May-August 2018). I thank the institute for their support and the organisers of the program for creating a stimulating environment for research.		25	0	0	0	0	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0304-3975	1879-2294		THEOR COMPUT SCI	Theor. Comput. Sci.	JUL 2	2020	823						44	68		10.1016/j.tcs.2020.03.002			25	Computer Science, Theory & Methods	Computer Science	LJ3KY	WOS:000530067900003					2020-05-19	
